,0
0,1437713.6622196843
1,3639111.2349383975
2,4317179.477910558
3,16342687.066809237
4,2775313.703087801
5,2141987.2743553356
6,2203310.695827418
7,2930814.5795587697
8,1393905.7184301338
9,3001381.7117030136
10,5265248.668394663
11,1816189.735134655
12,1811720.3824143729
13,2420987.683089639
14,4808734.380370317
15,5017323.462384327
16,2676409.4209964746
17,6061963.306319841
18,4617598.602765016
19,2614975.1003030417
20,2451861.686399849
21,2430582.297911925
22,3550854.1814549626
23,1788724.8852707502
24,2377609.535200489
25,2677475.7153367
26,3338388.3886253955
27,3345447.654390758
28,4446078.123339927
29,5142802.061170574
30,2356878.691580937
31,2159856.7272655596
32,12806705.50428613
33,3801137.515994666
34,3966248.452696092
35,2097575.7995358105
36,2710003.4630620102
37,2396598.5632390524
38,1275575.3572841508
39,1347403.7454751485
40,2132513.255297707
41,3049188.3458855925
42,1550336.3778111292
43,1063191.621610951
44,2327914.8601139886
45,964021.2225804654
46,1393905.7184301338
47,4617598.602765016
48,7425973.561918982
49,2159856.7272655596
50,2745610.2841459922
51,5253954.926686616
52,3055954.336050093
53,4309998.060036231
54,2541404.3601526897
55,1318897.5435369103
56,4943568.2033901485
57,5610794.816531355
58,1826095.51055846
59,2594123.463213636
60,2174886.622374954
61,3093051.723853308
62,6017367.85091759
63,3615538.9013899225
64,1690292.2070026544
65,2356878.691580937
66,2348707.363697308
67,3497443.652076925
68,2964035.0667684567
69,2407206.8673220063
70,1514669.2531544953
71,4112537.396873557
72,2295153.3368647937
73,2397198.59720332
74,2536781.545133634
75,2451861.686399849
76,5931393.044282963
77,2965669.1533046956
78,1628364.3537829325
79,2930814.5795587697
80,2290347.972951235
81,6378772.252912756
82,2190912.268978772
83,2464693.671156278
84,4037998.3208239586
85,2130101.3121045893
86,2813068.9677977473
87,2873418.390675881
88,2540829.2058540555
89,2106987.237492476
90,2214826.2673357516
91,2519289.651701122
92,964021.2225804654
93,5786499.535111702
94,2298605.9676513486
95,2066049.733616172
96,7812652.876042042
97,2115865.887573686
