Datetime,CO(GT),PT08.S1(CO),NMHC(GT),C6H6(GT),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH
2004-03-10 18:00:00,2.6,1360,150,11.8817234886803,166,1056.25,113,1692,1267.5,13.599999904633,48.875000953674,0.757753825129361
2004-03-10 19:00:00,2,1292.25,112,9.3971648895816,103,1173.75,92,1558.75,972.25,13.299999952316,47.699999809265,0.725487449242467
2004-03-10 20:00:00,2.2,1402,88,8.9978168713268,131,1140,114,1554.5,1074,11.900000095367,53.97500038147,0.750239067398195
2004-03-10 21:00:00,2.2,1375.5,80,9.22879642140727,172,1092,122,1583.75,1203.25,11,60,0.786712533085925
2004-03-10 22:00:00,1.6,1272.25,51,6.51822366907414,131,1205,116,1490,1110,11.150000095367,59.575000762939,0.788794231866759
2004-03-10 23:00:00,1.2,1197,38,4.74101236247875,89,1336.5,96,1393,949.25,11.175000190735,59.175000190735,0.784771664339745
2004-03-11 00:00:00,1.2,1185,31,3.62439918979752,62,1461.75,77,1332.75,732.5,11.324999809265,56.77499961853,0.760311939284329
2004-03-11 01:00:00,1,1136.25,31,3.3266769916608,62,1453.25,76,1332.75,729.5,10.674999952316,60,0.770238457823045
2004-03-11 02:00:00,0.9,1094,24,2.33941619508671,45,1579,60,1276,619.5,10.650000095367,59.674999237061,0.76481872568612
2004-03-11 03:00:00,0.6,1009.75,19,1.69665825765132,-200,1705,-200,1234.75,501.25,10.250000238419,60.200000762939,0.75165716483069
2004-03-11 04:00:00,-200,1011,14,1.2936197573721,21,1817.5,34,1196.75,445.25,10.075000047684,60.474999427795,0.746494516129247
2004-03-11 05:00:00,0.7,1066,8,1.13343057118786,16,1918,28,1182,421.75,10.999999761581,56.175000190735,0.73655960018064
2004-03-11 06:00:00,0.7,1051.75,16,1.60376787972881,34,1738.25,48,1221.25,471.5,10.450000047684,58.125,0.735295083024728
2004-03-11 07:00:00,1.1,1144,29,3.24361814731007,98,1489.75,82,1339,729.75,10.200000047684,59.599999427795,0.741736162856328
2004-03-11 08:00:00,2,1333.25,64,8.01377298709062,174,1136,112,1517,1101.5,10.75,57.425000190735,0.740794575739977
2004-03-11 09:00:00,2.2,1351,87,9.54064292532022,129,1079,101,1582.75,1027.75,10.5,60.599998474121,0.769110792757908
2004-03-11 10:00:00,1.7,1233.25,77,6.33578243722282,112,1218,98,1445.75,859.75,10.799999952316,58.35000038147,0.75518308265229
2004-03-11 11:00:00,1.5,1178.75,43,4.97158376146257,95,1327.5,92,1361.75,670.5,10.499999761581,57.925000190735,0.735160779631515
2004-03-11 12:00:00,1.6,1236,61,5.21691899988497,104,1301.25,95,1401.25,664,9.5249998569489,66.774998664856,0.795053788514204
2004-03-11 13:00:00,1.9,1285.5,63,7.26993335753569,146,1162.25,112,1536.75,799,8.299999833107,76.425001144409,0.839268067750277
2004-03-11 14:00:00,2.9,1371,164,11.5390072135637,207,983.25,128,1730.25,1036.5,8,81.14999961853,0.873588533618542
2004-03-11 15:00:00,2.2,1310,79,8.82622272645721,184,1081.75,126,1646.5,946.25,8.325000166893,79.799999237061,0.877784445098044
2004-03-11 16:00:00,2.2,1291.75,95,8.30141341676182,193,1102.5,131,1590.75,956.75,9.7000000476837,71.150001525879,0.856938127943632
2004-03-11 17:00:00,2.9,1383,150,11.1515812161294,243,1008,135,1718.75,1104,9.7750000953674,67.624998092651,0.818501207475343
2004-03-11 18:00:00,4.8,1580.75,307,20.7992168614605,281,798.5,151,2083,1408.5,10.349999904633,64.174999237061,0.806543633173666
2004-03-11 19:00:00,6.9,1775.5,461,27.3598074935868,383,702.25,172,2332.5,1704,9.6500000953674,69.300001144409,0.831921144410088
2004-03-11 20:00:00,6.1,1640,401,24.0177569359492,351,742.75,165,2191.25,1653.75,9.6499998569489,67.75,0.813313935362591
2004-03-11 21:00:00,3.9,1312.75,197,12.7793682487582,240,957.25,136,1706.5,1284.75,9.125,63.974999427795,0.741924224489251
2004-03-11 22:00:00,1.5,964.5,61,4.70707191924476,94,1325.25,85,1332.5,821,8.1750001907349,63.39999961853,0.69048444664144
2004-03-11 23:00:00,1,912.75,26,2.64572150961059,47,1564.5,53,1252.25,551.75,8.2499998807907,60.824998855591,0.66574436040631
2004-03-12 00:00:00,1.7,1080.25,55,5.85480151426304,122,1253.5,97,1375,815.5,8.3250002861023,58.525000572205,0.643763609633057
2004-03-12 01:00:00,1.9,1043.75,53,6.37429750967153,133,1247.25,110,1378.25,831.5,7.7250001430511,59.674999237061,0.630766060273863
2004-03-12 02:00:00,1.4,987.75,40,4.13234179510347,82,1395.5,91,1303.5,691.5,7.125,61.799999237061,0.62759736878688
2004-03-12 03:00:00,0.8,888.75,21,1.86944463513703,-200,1680.25,-200,1187,512,6.9750000238419,62.27499961853,0.626107527809789
2004-03-12 04:00:00,-200,831,10,1.06829261164185,21,1892.75,32,1133.75,384,6.1000000238419,65.900001525879,0.624753631972468
2004-03-12 05:00:00,0.6,847.25,7,1.02241459897595,30,1894.5,44,1154.75,394,6.2749999761581,64.97500038147,0.6232823211023
2004-03-12 06:00:00,0.8,927,17,1.83043122583498,56,1684.75,71,1222.75,486.5,6.75,62.949999809265,0.623427539214452
2004-03-12 07:00:00,1.4,1090.5,33,4.3593409968645,109,1387,104,1360.75,748.25,6.4499999284744,65.075001716614,0.631628114438954
2004-03-12 08:00:00,4.4,1587,202,17.8655867048338,307,896.5,141,1900.25,1400.25,7.3250000476837,63.14999961853,0.649933139307388
2004-03-12 09:00:00,-200,1544.5,-200,22.0741620632236,-200,767.25,-200,2058,1587.75,9.2250000238419,56.199998855591,0.656065118917194
2004-03-12 10:00:00,3.1,1350.25,208,14.0270113667516,187,912,122,1711.75,1237,13.224999904633,41.749999046326,0.631950130993722
2004-03-12 11:00:00,2.7,1262.75,166,11.6456465597041,216,969,143,1598.25,1166.5,14.325000047684,38.449999809265,0.62430429421539
2004-03-12 12:00:00,2.1,1206.25,114,10.2246621439528,143,1034.5,113,1537,959,15.025000095367,36.5,0.619532322605736
2004-03-12 13:00:00,2.5,1251.5,140,11.0399360393008,160,1007.5,116,1592.75,983,16.100000143051,34.474999427795,0.62616474015668
2004-03-12 14:00:00,2.7,1287,169,12.8164461964156,163,948.75,123,1660.25,1060.75,16.275000572205,35.72500038147,0.656030611962757
2004-03-12 15:00:00,2.9,1352.75,185,14.1738511779101,190,921.75,126,1740,1139.25,15.825000047684,37.02499961853,0.660961139503487
2004-03-12 16:00:00,2.8,1309,165,12.6905681033727,178,954,120,1657.25,1112.25,15.874999761581,37.175000190735,0.6657285250912
2004-03-12 17:00:00,2.4,1274,133,11.7384054162647,150,1005.75,119,1609.75,993.75,16.875000238419,34.349999427795,0.654908514327072
2004-03-12 18:00:00,3.9,1509.5,233,19.290974886273,206,812.25,149,1909.75,1409.5,15.149999856949,39.550000190735,0.676626507808505
2004-03-12 19:00:00,3.7,1525.25,242,18.2261782916974,202,821,145,1846.75,1447.75,14.399999856949,43.425000190735,0.708449759817737
2004-03-12 20:00:00,6.6,1843,488,32.5562783470705,340,624,170,2390.25,1886.5,12.875,50.525000572205,0.747803218850897
2004-03-12 21:00:00,4.4,1597.75,333,20.0929435644942,274,752,149,1940.5,1626.75,12.149999856949,53.349999427795,0.75362022278253
2004-03-12 22:00:00,3.5,1483.5,215,14.3213424226295,253,839,139,1723,1491,10.975000143051,59.125000953674,0.773980003386285
2004-03-12 23:00:00,5.4,1677.25,367,21.8128650694319,300,740.5,134,2062,1657,9.6749999523163,64.624999046326,0.777073942547362
2004-03-13 00:00:00,2.7,1279.5,122,9.63899981451842,193,962.5,113,1543.5,1285.25,9.4500002861023,64.125,0.759746528235943
2004-03-13 01:00:00,1.9,1196.25,67,7.3751394675463,139,1071.25,97,1463.25,1144.25,9.1499998569489,63.900001525879,0.742276412922536
2004-03-13 02:00:00,1.6,1183.75,43,5.36960416968744,83,1176.25,82,1364.5,1042.75,8.7999999523163,63.924998283386,0.725615371264939
2004-03-13 03:00:00,1.7,1171.75,46,5.3901039395437,-200,1178.5,-200,1379.75,995.5,7.8000000715256,67.52499961853,0.7173121148941
2004-03-13 04:00:00,-200,1147,56,6.19904196329595,109,1132.25,83,1411.75,991.5,7,71.075000762939,0.715778469303664
2004-03-13 05:00:00,1,978.25,30,2.57793219937785,62,1420.25,65,1274.25,819.25,8.2999999523163,63.574999809265,0.698154620475691
2004-03-13 06:00:00,1.2,1099.5,27,2.90854800942283,53,1406.25,60,1267.5,835,7.2000000476837,67.47500038147,0.688672147083888
2004-03-13 07:00:00,1.5,1112.25,47,5.13625582872442,139,1228,77,1408.5,939.75,6.3499999046326,71.89999961853,0.693198558734372
2004-03-13 08:00:00,2.7,1335.5,132,11.8171386009924,256,935.25,96,1678,1191.75,6.450000166893,71.550001144409,0.694475479717601
2004-03-13 09:00:00,3.7,1408.3333333333,239,15.1401611984076,295,830.33333333333,119,1776.6666666667,1411,9.5666666030884,59.666667938232,0.712366561199275
2004-03-13 10:00:00,3.2,1447,160,12.9130630959072,250,868.5,126,1666.75,1465,12.375,51.175000190735,0.733458385064077
2004-03-13 11:00:00,4.1,1541.5,283,16.133508844949,296,808.25,158,1779.75,1582.5,15.649999856949,42.199999809265,0.745093757777433
2004-03-13 12:00:00,3.6,1451.25,210,14.019301019815,239,875.25,161,1679.25,1387.25,18.400000095367,33.824999809265,0.708963570176462
2004-03-13 13:00:00,2.8,1328.25,154,12.2796640772005,153,986.5,124,1599.5,1100.5,19.35000038147,31.275000095367,0.69500810475274
2004-03-13 14:00:00,2,1206.5,112,8.61841257653228,118,1087.75,102,1488.25,849.75,18.02499961853,34.800000190735,0.712673874194492
2004-03-13 15:00:00,2,1239.5,108,9.19656674023842,119,1049,116,1531.75,947,18.375,33.64999961853,0.704207020809635
2004-03-13 16:00:00,2.5,1306,111,10.2448870843445,138,1004,124,1554,1078,17.625,35.10000038147,0.701203250936439
2004-03-13 17:00:00,2.3,1326,97,10.6118444604737,148,975.5,125,1601.5,1083.75,16.675000190735,37.799999237061,0.711736403843591
2004-03-13 18:00:00,3.2,1472.75,191,15.4522099649153,227,830.5,148,1779,1394.75,16.099999904633,41.02499961853,0.74513149435854
2004-03-13 19:00:00,4.2,1609,258,19.6367846639173,277,757.5,165,1922,1611.5,15.825000047684,42.400000572205,0.756914327667609
2004-03-13 20:00:00,4.2,1610.75,284,19.2027279161836,279,754.25,161,1915,1697.25,15.650000095367,44.10000038147,0.778640655070786
2004-03-13 21:00:00,4.2,1620.5,269,18.2693103571497,283,762,159,1860,1885.5,15.325000047684,46.775000572205,0.809124428576824
2004-03-13 22:00:00,3.1,1444.25,180,13.1447043018938,214,844,143,1747.5,1623.75,14.649999856949,48.625,0.80596941410723
2004-03-13 23:00:00,2.6,1418,116,10.8733671544159,172,892,130,1603,1536.25,14.700000286102,49.275000572205,0.819336124419836
2004-03-14 00:00:00,2.9,1533.5,93,10.9634579591418,190,888.5,129,1610.75,1534.75,13.949999809265,53.60000038147,0.849771720433188
2004-03-14 01:00:00,2.8,1483.5,131,11.8601785184833,174,879.75,119,1624.25,1529.75,14.649999856949,51.5,0.853623132679122
2004-03-14 02:00:00,2.5,1366.75,92,8.62467882305587,128,952.5,104,1543,1337,12.549999952316,58.900000572205,0.85374007387939
2004-03-14 03:00:00,2.4,1344,132,9.73778645667019,-200,920.5,-200,1619.75,1278.25,11.649999856949,63.425000190735,0.867449231574494
2004-03-14 04:00:00,-200,1129.5,56,5.19165420320401,70,1130.25,82,1451.75,1050.5,12.099999904633,61.100001335144,0.860316213167264
2004-03-14 05:00:00,1.2,1062,32,3.65042314632486,53,1271.5,70,1376.75,929,11.475000143051,63.10000038147,0.853275383438132
2004-03-14 06:00:00,1,1075.75,29,2.48134193464027,44,1395.25,63,1333,872.25,11.599999904633,62.150000572205,0.847263625910026
2004-03-14 07:00:00,0.9,1028.25,27,2.42998440227742,74,1383.5,67,1340,853,10.399999856949,67.649998664856,0.852998730292664
2004-03-14 08:00:00,1.4,1154.5,36,4.21051013605492,101,1224.75,84,1413.75,959.25,11.574999809265,62.674999237061,0.853038223008775
2004-03-14 09:00:00,1.6,1235.25,57,6.35227671107466,118,1055.25,83,1527,1093.25,12.424999952316,60,0.862715127329646
2004-03-14 10:00:00,2.2,1331.5,129,8.58711047460812,144,951.75,98,1613.75,1225,14.525000095367,53.074999809265,0.872781622355281
2004-03-14 11:00:00,2.8,1444.75,148,10.859535166937,176,878.25,114,1696,1355.25,16.875000476837,46.099999427795,0.878931094266637
2004-03-14 12:00:00,2.8,1415.5,145,10.659815662689,161,906.75,119,1676.5,1261.5,19.300000190735,38.25,0.847404802141443
2004-03-14 13:00:00,2,1281.25,93,7.5400724561671,113,1083.75,104,1525,980,21.174999713898,31.449999809265,0.781195716500223
