product,sales
1003452,1
1003457,4
1003458,5
1003460,1481
1003461,284
1003467,38
1003468,26
1003469,41
1003471,52
1003472,5
1003473,6
1003475,6
1003477,81
1003478,248
1003480,12
1003482,4
1003483,1
1003484,219
1003487,19
1003488,11
1003489,1164
1003490,28
1003491,69
1003493,623
1003494,219
1003495,1
1003496,31
1003497,11
1003498,3
1003499,134
1003500,6
1003502,10
1003504,1
1003505,48
1003506,41
1003507,42
1003508,74
1003509,200
1003510,5
1003511,20
1003512,218
1003513,1
1003515,134
1003517,4
1003518,13
1003519,10
1003520,89
1003521,39
1003522,1
1003523,4
1003524,532
1003525,204
1003526,6
1003527,159
1003528,1169
1003529,6
1003530,2428
1003531,7
1003532,926
1003533,957
1003534,225
1003535,341
1003536,22
1003537,560
1003540,3
1003543,1
1003544,1
1003545,1
1003546,1
1003547,3
1003548,2342
1003549,506
1003551,20
1003552,4
1003553,36
1003554,27
1003556,6
1003557,11
1003558,5
1003559,2
1003560,1
1003561,11
1003562,5
1003563,12
1003564,1
1003565,19
1003566,2
1003567,11
1003568,1
1003569,2
1003570,1771
1003571,3959
1003572,970
1003573,15
1003574,2
1003575,4
1003576,1
1003577,1
1003580,1
1003581,1
1003582,4
1003583,3
1003584,2
1003585,7
1003586,20
1003587,23
1003589,10
1003590,15
1003592,223
1003593,10
1003594,1
1003595,1
1003596,5
1003598,48
1003599,211
1003600,214
1003601,2
1003602,4
1003603,1
1003604,311
1003607,1
1003608,12
1003609,15
1003610,75
1003611,16
1003612,142
1003613,16
1003614,7
1003615,10
1003616,4
1003617,2
1003618,7
1003619,5
1003621,10
1003622,8
1003623,7
1003624,3
1003625,15
1003626,5
1003627,24
1003628,13
1003629,4
1003630,8
1003631,1
1003633,2
1003634,5
1003635,53
1003636,7
1003637,4
1003638,12
1003639,16
1003641,1
1003642,2
1003643,11
1003644,27
1003645,7
1003646,8
1003647,14
1003648,17
1003649,10
1003650,24
1003652,861
1003653,32
1003655,709
1003656,73
1003657,865
1003658,6
1003659,1
1003660,2
1003661,9
1003662,13
1003663,1
1003664,222
1003665,314
1003666,2526
1003667,6
1003668,235
1003669,8
1003671,8
1003672,76
1003673,4
1003674,2
1003678,1
1003687,12
1003688,20
1003689,13
1003690,950
1003691,5
1003693,1
1003705,1040
1000033,9
1000541,1
1000544,1
1000808,5
1000851,8
1000868,1
1000893,1
1001147,1
1001153,2
1001158,1
1001164,1
1001173,1
1001201,1
1001272,1
1001335,1
1001357,16
1001405,1
1001435,23
1001437,6
1001440,25
1001452,1
1001454,1
1001504,1
1001508,12
1001511,1
1001541,2
1001557,3
1001567,3
1001577,1
1001578,5
1001588,7
1001593,6
1001594,1
1001617,1
1001618,8
1001620,1
1001628,11
1001634,1
1001644,5
1001649,1
1001663,10
1001682,1
1001688,51
1001691,8
1001692,22
1001696,8
1001697,10
1001698,9
1001710,3
1001711,24
1001713,3
1001781,3
1001782,1
1001802,2
1001806,1
1001814,7
1001820,3
1001825,2
1001831,4
1001844,1
1001846,1
1001848,21
1001854,1
1001874,3
1001884,2
1001913,1
1001914,4
1001915,2
1001922,1
1001947,4
1001965,5
1001966,4
1001975,3
1001976,1
1001992,26
1002009,2
1002026,2
1002041,1
1002042,873
1002053,1
1002055,1
1002060,557
1002062,851
1002066,394
1002079,2
1002098,22
1002099,47
1002100,8
1002101,7
1002102,63
1002103,3
1002112,4
1002120,1
1002134,2
1002139,1
1002153,1089
1002155,1
1002160,1
1002162,529
1002164,4
1002165,1
1002166,2
1002170,1
1002174,1
1002175,2
1002176,1
1002182,1
1002190,2
1002191,1
1002192,2
1002198,1
1002217,187
1002222,10
1002223,4
1002226,1
1002227,76
1002234,1
1002266,2259
1002267,3370
1002270,4
1002271,1
1002272,1
1002275,1
1002276,5
1002277,1
1002279,2
1002288,1
1002306,57
1002307,31
1002314,9737
1002315,6373
1002316,50
1002317,97
1002331,1
1002335,10
1002351,5
1002353,5
1002363,1
1002364,3
1002367,15
1002377,51
1002378,129
1002379,11
1002381,7
1002395,7
1002396,13
1002398,5
1002403,5
1002404,27
1002405,1
1002406,1
1002407,1
1002413,2
1002415,22
1002418,1
1002419,2
1002420,69
1002422,1
1002424,2
1002425,5
1002426,6
1002427,3
1002428,2
1002429,14
1002430,21
1002436,7
1002437,32
1002438,6
1002440,41
1002444,1
1002445,10
1002446,11
1002447,5
1002448,15
1002450,18
1002451,22
1002454,40
1002456,1
1002457,3
1002459,17
1002460,18
1002463,3
1002464,1
1002468,3
1002469,14
1002470,5
1002472,1
1002480,2
1002482,10
1002484,26
1002486,39
1002490,1
1002497,14
1002499,15
1002500,277
1002501,3
1002503,2
1002509,1
1002511,38
1002512,1
1002513,6
1002518,1
1002521,5
1002522,99
1002523,5
1002524,558
1002525,294
1002526,3
1002527,53
1002528,153
1002529,8
1002530,2
1002531,126
1002532,247
1002533,18
1002534,1
1002535,28
1002536,189
1002537,4
1002538,91
1002539,6
1002540,528
1002541,46
1002542,163
1002543,2
1002544,3512
1002545,577
1002546,5
1002547,756
1002548,150
1002549,12
1002550,1
1002553,22
1002557,1
1002559,2
1002561,1
1002562,1
1002567,82
1002568,1
1002570,1
1002572,1
1002573,1
1002577,36
1002579,108
1002580,1
1002583,1
1002585,59
1002586,24
1002587,1
1002590,52
1002597,4
1002598,2
1002599,2
1002600,158
1002601,31
1002602,56
1002606,40
1002608,4
1002611,11
1002612,20
1002613,5
1002614,1
1002615,2
1002617,2
1002618,22
1002625,1
1002628,60
1002629,236
1002633,692
1002634,404
1002641,45
1002642,1
1002646,17
1002647,2
1002650,1
1002652,1
1002653,58
1002654,121
1002656,2
1002658,1
1002659,2
1002660,1
1002665,24
1002666,4
1002677,33
1002678,17
1002679,4
1002682,23
1002683,27
1002684,8
1002687,44
1002688,8
1002697,2
1002698,6
1002700,488
1002701,2
1002702,1
1002703,1937
1002708,2
1002709,328
1002714,15
1002715,67
1002718,50
1002719,3
1002720,1
1002723,8
1002724,4
1002726,9
1002727,2
1002754,37
1002757,3197
1002760,3
1002762,2
1002763,9
1002764,15
1002765,3
1002766,1
1002772,25
1002773,23
1002776,4
1002781,14
1002782,33
1002785,5
1002786,10
1002787,8
1002788,9
1002789,4
1002791,10
1002792,6
1002793,1
1002794,9
1002796,21
1002797,26
1002799,4
1002800,6
1002807,7
1002816,8
1002817,11
1002818,1
1002819,5
1002824,2
1002825,7
1002827,4
1002828,5
1002829,78
1002830,1
1002833,3
1002835,11
1002838,1
1002841,1
1002843,11
1002844,20
1002845,24
1002846,10
1002847,1
1002849,6
1002851,8
1002852,8
1002855,42
1002856,1
1002857,1
1002858,3
1002859,13
1002862,1
1002864,200
1002865,3
1002867,750
1002868,8
1002869,12
1002870,20
1002874,7344
1002875,1607
1002876,1478
1002877,9100
1002878,4
1002879,1
1002880,3
1002881,24
1002883,118
1002892,3
1002893,6
1002895,51
1002896,24
1002897,7
1002898,3
1002900,28
1002901,18
1002902,74
1002903,13
1002904,974
1002905,1215
1002906,592
1002909,43
1002910,25
1002912,36
1002914,2
1002917,8
1002918,1016
1002921,56
1002923,3012
1002925,4
1002926,13
1002929,4
1002931,51
1002932,2
1002933,152
1002934,3
1002943,684
1002944,1
1002945,4
1002948,1
1002951,178
1002952,250
1002957,1
1002959,1
1002960,129
1002961,1
1002962,58
1002963,108
1002964,18
1002974,568
1002975,20
1002980,366
1002982,1
1002985,4
1002987,344
1002990,318
1002991,212
1002992,16
1002993,4
1002994,1598
1002995,10279
1002996,1073
1002997,27
1003000,179
1003001,227
1003002,111
1003003,1
1003005,34
1003006,27
1003007,33
1003009,2
1003013,165
1003014,321
1003015,654
1003016,239
1003017,12
1003018,36
1003021,164
1003022,31
1003023,9
1003026,1
1003027,138
1003028,7
1003029,72
1003030,10
1003033,1
1003035,12
1003036,193
1003037,1
1003038,15
1003039,2785
1003040,5
1003043,3
1003044,1
1003047,1
1003048,568
1003049,264
1003050,757
1003051,233
1003052,127
1003059,150
1003061,2
1003062,6
1003063,25
1003064,426
1003065,1682
1003066,727
1003067,1078
1003068,177
1003069,26
1003071,74
1003072,184
1003073,205
1003074,75
1003075,33
1003078,404
1003079,18
1003080,255
1003081,3
1003083,178
1003084,1534
1003085,589
1003086,2659
1003087,2
1003091,22
1003092,59
1003093,27
1003096,202
1003098,29
1003099,6
1003100,1
1003101,48
1003102,50
1003103,144
1003104,40
1003105,22
1003106,33
1003112,7
1003113,295
1003114,142
1003115,183
1003117,354
1003118,3
1003119,1
1003123,42
1003124,20
1003125,4
1003126,106
1003127,54
1003128,18
1003129,1896
1003130,31
1003132,2
1003133,9
1003134,36
1003136,6
1003141,2417
1003142,20
1003143,7
1003144,21
1003145,11
1003146,676
1003147,326
1003148,68
1003149,17
1003150,24
1003151,31
1003152,9
1003153,1133
1003154,61
1003157,84
1003158,31
1003159,15
1003160,22
1003161,19
1003162,8
1003164,1
1003165,16
1003166,1
1003168,10
1003169,22
1003170,15
1003171,35
1003172,13
1003173,55
1003174,8
1003175,24
1003176,232
1003177,38
1003178,40
1003180,72
1003181,230
1003182,16
1003183,716
1003184,568
1003185,130
1003186,270
1003187,149
1003192,11
1003193,14
1003194,8
1003195,1536
1003197,3
1003201,555
1003202,13
1003203,12
1003204,611
1003205,338
1003206,6
1003207,6
1003208,2936
1003209,1602
1003210,1608
1003211,981
1003212,1
1003214,3
1003215,3
1003216,220
1003218,37
1003219,126
1003220,1
1003221,353
1003222,54
1003224,5972
1003225,1508
1003226,874
1003227,66
1003228,1696
1003230,109
1003231,357
1003234,151
1003235,230
1003237,96
1003238,53
1003243,2
1003244,35
1003246,3
1003247,10
1003248,5
1003249,10
1003250,34
1003251,5
1003252,2
1003255,367
1003256,243
1003257,65
1003258,141
1003259,6
1003270,1
1003272,7
1003273,5
1003274,31
1003275,22
1003276,15
1003277,20
1003278,54
1003280,12
1003281,748
1003282,2
1003285,229
1003289,164
1003290,193
1003291,23
1003292,5
1003293,23
1003294,25
1003296,19
1003297,3
1003298,106
1003299,9
1003300,11
1003301,28
1003302,6
1003304,1882
1003305,631
1003306,3865
1003307,142
1003308,70
1003309,334
1003310,1032
1003311,388
1003312,1521
1003313,150
1003314,84
1003315,247
1003316,2677
1003317,4705
1003318,1590
1003319,2644
1003320,14
1003322,1
1003323,37
1003324,8
1003325,407
1003326,48
1003327,1699
1003328,49
1003329,73
1003330,69
