DATE, INBOUND_FOR , OUTBOUND_FOR , NET_FOR , INBOUND_KZT , OUTBOUND_KZT , NET_KZT , NET_TOTAL ,USD,EUR,DELTA_NET_USD,DELTA_NET_EUR,DELTA_IN_FOR,DELTA_OUT_FOR,DELTA_NET_FOR,DELTA_IN_KZT,DELTA_OUT_KZT,DELTA_NET_KZT,DELTA_NET_TOTAL,CALENDAR,RATE_FOR,RATE_KZT
1/1/2016,0.0000,122953.0000,-122953.0000,1899647.0000,1584705.0000,314942.0000,191989.0000,340.0100,371.4600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,HOLIDAY,0.0240,0.1220
1/2/2016,2942.0000,115059.0000,-112117.0000,2706416.0000,2315761.0000,390655.0000,278538.0000,340.0100,371.4600,0.0000,0.0000,0.0000,-0.0642,0.0881,0.4247,0.4613,0.2404,0.4508,HOLIDAY,0.0240,0.1220
1/3/2016,263.0000,147905.0000,-147642.0000,3548855.0000,2971268.0000,577587.0000,429945.0000,340.0100,371.4600,0.0000,0.0000,-0.9106,0.2855,-0.3169,0.3113,0.2831,0.4785,0.5436,NORMAL,0.0240,0.1220
1/4/2016,13533594.0000,9363025.0000,4170569.0000,23528654.0000,11716898.0000,11811756.0000,15982325.0000,340.0100,371.4600,0.0000,0.0000,51457.5323,62.3043,29.2478,5.6299,2.9434,19.4502,36.1730,NORMAL,0.0240,0.1220
1/5/2016,36769881.0000,32769452.0000,4000429.0000,37289979.0000,22565273.0000,14724706.0000,18725135.0000,340.0100,371.4600,0.0000,0.0000,1.7169,2.4999,0.0408,0.5849,0.9259,0.2466,0.1716,NORMAL,0.0240,0.1220
1/6/2016,42232107.0000,40426113.0000,1805995.0000,32561910.0000,26047017.0000,6514893.0000,8320888.0000,343.1400,369.4600,-0.0092,0.0054,0.1486,0.2337,0.5485,-0.1268,0.1543,-0.5576,-0.5556,NORMAL,0.0240,0.1220
1/7/2016,20162470.0000,7431723.0000,12730747.0000,16324399.0000,15539914.0000,784485.0000,13515232.0000,345.0100,370.2300,-0.0054,-0.0021,-0.5226,-0.8162,-6.0492,-0.4987,-0.4034,-0.8796,0.6243,HOLIDAY,0.0240,0.1220
1/8/2016,38992389.0000,38281125.0000,711264.0000,32862635.0000,28393829.0000,4468806.0000,5180070.0000,345.0100,370.2300,0.0000,0.0000,0.9339,4.1510,0.9441,1.0131,0.8272,4.6965,-0.6167,NORMAL,0.0240,0.1220
1/9/2016,26803474.0000,11932948.0000,14870526.0000,22660399.0000,16416190.0000,6244209.0000,21114734.0000,351.8800,382.3200,-0.0199,-0.0327,-0.3126,-0.6883,-19.9072,-0.3105,-0.4218,0.3973,3.0761,WEEKEND,0.0240,0.1220
1/10/2016,8851527.0000,6220097.0000,2631430.0000,12639631.0000,10366946.0000,2272685.0000,4904116.0000,351.8800,382.3200,0.0000,0.0000,-0.6698,-0.4787,0.8230,-0.4422,-0.3685,-0.6360,-0.7677,WEEKEND,0.0240,0.1220
