,0
0,-11981002.0
1,-10748075.0
2,-6824475.0
3,-2374474.0
4,-5046112.0
5,-6949962.0
6,-7341871.0
7,-2315740.0
8,-3033589.0
9,-5211123.0
10,-2862848.0
11,-4948424.0
12,-5151700.0
13,-4812022.0
14,-5304824.0
15,-4762253.0
16,-4799910.0
17,-2782643.0
18,-4261855.0
19,-8911235.0
20,-7513778.0
21,-5836429.0
22,-8594882.0
23,-9038267.0
24,-2018845.0
25,-4333055.0
26,-9626562.0
27,-8601257.0
28,-5818957.0
29,-7947220.0
30,-8514500.0
31,-2052422.0
32,-3786897.0
33,-9111028.0
34,-11090767.0
35,-4366805.0
36,-1293762.0
37,-7382936.0
38,1106710.0
39,-3563326.0
40,-6180880.0
41,7197250.0
42,13234856.0
43,8388002.0
44,-8803946.0
45,-3715617.0
46,-3738076.0
47,-18098622.0
48,-6874432.0
49,-2952314.0
50,-9452912.0
51,-4727296.0
52,-4005687.0
53,-2244333.0
54,-7156340.0
55,-5484122.0
56,-1826886.0
57,-1824595.0
58,-3706383.0
59,-5242764.0
60,-4878823.0
61,-7308988.0
62,-8995528.0
63,-7835000.0
64,-7541401.0
65,-9484885.0
66,-1202561.0
67,-3549566.0
68,-8576936.0
69,-5806704.0
70,-4359286.0
71,-4577296.0
72,-5294104.0
73,-571768.0
74,-3707530.0
75,-6653448.0
76,-8473376.0
77,-1902846.0
78,248284.0
79,-2894634.0
80,-758001.0
81,-4056921.0
82,-456706.0
83,19743682.0
84,74732970.0
85,22737050.0
86,5060508.0
87,7172975.0
88,-1732087.0
89,-123656.0
90,-2689960.0
91,370188.0
92,-981988.0
93,1478358.0
94,612599.0
95,-3426391.0
96,-3628684.0
97,-662674.0
98,-187698.0
99,-1760502.0
100,-5565788.0
101,1333003.0
102,-2808528.0
103,-3472442.0
104,-5162418.0
105,-1242440.0
106,-1014184.0
107,-5162308.0
108,-850431.0
109,-4026517.0
110,-5979534.0
111,-6230366.0
112,2552393.0
113,11106486.0
114,2239937.0
115,-1379004.0
116,-1634949.0
117,2908848.0
118,18206598.0
119,20887388.0
120,5163812.0
121,13008848.0
122,4546172.0
123,-1720787.0
124,856818.0
125,411348.0
126,539236.0
127,-1701482.0
128,-7065118.0
129,-94565.0
130,-4917966.0
131,-8866636.0
132,-3431930.0
133,-5444550.0
134,-762110.0
135,-5394686.0
136,106425.0
137,-4586669.0
138,-12819464.0
139,-3312024.0
140,-5997278.0
141,-6946373.0
142,-8764226.0
143,269370.0
144,-5549025.0
145,-15292876.0
146,-5158602.0
147,2366916.0
148,872580.0
149,-3091976.0
150,2055258.0
151,-2634962.0
152,-1685592.0
153,-1142948.0
154,3658878.0
155,-4525192.0
156,-769030.0
157,1147746.0
158,-3608531.0
159,-12885294.0
160,-4422668.0
161,-2812063.0
162,-6275228.0
163,-6705112.0
164,1159800.0
165,-3955770.0
166,-9001464.0
167,-9631326.0
168,-2417916.0
169,-6377056.0
170,-10861242.0
171,-3940579.0
172,-3611641.0
173,-10555299.0
174,-8248572.0
175,-7428142.0
176,-9341109.0
177,-9588434.0
178,-1021363.0
179,-3564051.0
180,-13402558.0
181,-12065716.0
182,-13265098.0
183,-4932476.0
184,-11924381.0
185,-2314979.0
186,-4164769.0
187,-11380983.0
188,-8181649.0
189,-3617108.0
190,-3923770.0
191,-6809950.0
192,-2492057.0
193,-4270993.0
194,-5708036.0
195,-13406755.0
196,-4861795.0
197,-5508602.0
198,-7578443.0
199,-1813577.0
200,-4812646.0
201,-8365329.0
202,-9307536.0
203,-7984400.0
204,-5702738.0
205,-4442797.0
206,-5609761.0
207,-3917074.0
208,-9893276.0
209,-9898768.0
210,-4248336.0
211,-6379206.0
212,-5928122.0
213,-1518417.0
214,-5162356.0
215,-7676685.0
216,-12078738.0
217,-4619193.0
218,-6766536.0
219,-8713480.0
220,-1259863.0
221,-4515903.0
222,-5497184.0
223,-5728006.0
224,-10723393.0
225,-14346274.0
226,-3552159.0
227,-1002392.0
228,-3686272.0
229,-6414058.0
230,-7765808.0
231,-8992050.0
232,450060.0
233,-1060416.0
