DATE,IN_FOR,OUT_FOR,IN_KZT,OUT_KZT
1/1/2016,0.00,122953.00,1899647.00,1584705.00
1/2/2016,2942.00,115059.00,2706416.00,2315761.00
1/3/2016,263.00,147905.00,3548855.00,2971268.00
1/4/2016,13533594.00,9363025.00,23528654.00,11716898.00
1/5/2016,36769881.00,32769452.00,37289979.00,22565273.00
1/6/2016,42232107.00,40426113.00,32561910.00,26047017.00
1/7/2016,20162470.00,7431723.00,16324399.00,15539914.00
1/8/2016,38992389.00,38281125.00,32862635.00,28393829.00
1/9/2016,26803474.00,11932948.00,22660399.00,16416190.00
1/10/2016,8851527.00,6220097.00,12639631.00,10366946.00
1/11/2016,39286147.00,32598729.00,30420013.00,33480946.00
1/12/2016,46513285.00,50892940.00,39949753.00,39848130.00
1/13/2016,46796337.00,53460452.00,42709133.00,46540674.00
1/14/2016,41271148.00,54597101.00,25349487.00,38046184.00
1/15/2016,43411973.00,50333492.00,30121656.00,41039194.00
1/16/2016,28867142.00,10807737.00,19171525.00,20630054.00
1/17/2016,9629009.00,5841229.00,8416629.00,9669873.00
1/18/2016,42916255.00,56818652.00,33473648.00,38842817.00
1/19/2016,55622884.00,70447920.00,39486830.00,57101681.00
1/20/2016,50407793.00,56996416.00,29746283.00,44597771.00
1/21/2016,45149174.00,47622124.00,27055713.00,39285774.00
1/22/2016,57671107.00,90092833.00,48629080.00,45382090.00
1/23/2016,28733447.00,61891186.00,72830653.00,16492667.00
1/24/2016,7434043.00,10435314.00,9877539.00,8128339.00
1/25/2016,82908779.00,99732352.00,61657591.00,64352584.00
1/26/2016,57545594.00,121877427.00,36742750.00,46589174.00
1/27/2016,41310442.00,56609777.00,30796268.00,26699781.00
1/28/2016,49288994.00,69344494.00,48676275.00,35599797.00
1/29/2016,68425027.00,117637795.00,78993717.00,37711995.00
1/30/2016,15897107.00,14117874.00,20189496.00,12215651.00
1/31/2016,6704821.00,7177766.00,10573176.00,8564507.00
2/1/2016,35622073.00,80411379.00,290060859.00,236902226.00
2/2/2016,53152080.00,80139401.00,251152657.00,241174191.00
2/3/2016,38247744.00,58341186.00,192966169.00,172506511.00
2/4/2016,24559200.00,45330266.00,159086362.00,137015355.00
2/5/2016,24949127.00,36116691.00,130068361.00,115176800.00
2/6/2016,20503065.00,12983910.00,96710040.00,76225315.00
2/7/2016,12463819.00,9518366.00,47681322.00,36858249.00
2/8/2016,28104783.00,41645438.00,132286638.00,114552451.00
2/9/2016,22431120.00,42783051.00,115910766.00,97624613.00
2/10/2016,27652333.00,47509166.00,101122725.00,82231715.00
2/11/2016,25031078.00,41135474.00,87887196.00,70331631.00
2/12/2016,22353305.00,56075925.00,105990116.00,75623064.00
2/13/2016,14385001.00,22451662.00,79456621.00,51087190.00
2/14/2016,7174297.00,11373534.00,35029598.00,25021447.00
2/15/2016,23050228.00,35231975.00,90263603.00,76148260.00
2/16/2016,33628834.00,50451063.00,89132585.00,77545374.00
2/17/2016,27540874.00,41766009.00,87146782.00,70523265.00
2/18/2016,26210588.00,57807135.00,106637683.00,72432197.00
2/19/2016,31059059.00,52602742.00,89343589.00,67471633.00
2/20/2016,16720184.00,12958664.00,59631420.00,50321394.00
2/21/2016,7637510.00,7150365.00,24198022.00,21072804.00
2/22/2016,22014332.00,43057358.00,83798144.00,61200547.00
2/23/2016,21883499.00,47145372.00,79171054.00,61288009.00
2/24/2016,22454734.00,34481393.00,68899717.00,59463725.00
2/25/2016,16305520.00,29565691.00,68710858.00,53467965.00
2/26/2016,21394254.00,37912638.00,67662982.00,52458599.00
2/27/2016,16256706.00,11553272.00,46815056.00,32876698.00
2/28/2016,6704829.00,6608535.00,25780551.00,20668875.00
2/29/2016,22755438.00,31726737.00,68891338.00,52962080.00
3/1/2016,27824176.00,60762775.00,113648423.00,86005683.00
3/2/2016,19997969.00,62144173.00,102863631.00,63450214.00
3/3/2016,18486880.00,39911884.00,91110285.00,59185895.00
3/4/2016,29778131.00,51543670.00,92666487.00,53638375.00
3/5/2016,16905974.00,54707890.00,91761584.00,48145844.00
3/6/2016,10136571.00,13854513.00,41650841.00,23192128.00
3/7/2016,11903183.00,20598333.00,48715113.00,25088813.00
3/8/2016,2925353.00,23031449.00,36113301.00,12093882.00
3/9/2016,25434473.00,47374390.00,88108569.00,47034119.00
3/10/2016,25305688.00,55370427.00,77904116.00,52449473.00
3/11/2016,20243314.00,39894282.00,72167388.00,47881885.00
3/12/2016,15392166.00,13383338.00,41508287.00,27129835.00
3/13/2016,9012487.00,8008966.00,24881856.00,18998904.00
3/14/2016,25814687.00,33171237.00,60513039.00,45978989.00
3/15/2016,31500582.00,44697251.00,57799189.00,55499734.00
3/16/2016,46778438.00,30876587.00,47110679.00,64102145.00
3/17/2016,28771042.00,45708549.00,56652359.00,49308262.00
3/18/2016,26705153.00,37712651.00,60760289.00,51074207.00
3/19/2016,22571141.00,11114545.00,39135139.00,32544432.00
3/20/2016,12317574.00,5421733.00,19666251.00,18466140.00
3/21/2016,16339465.00,11185526.00,18746870.00,17003611.00
3/22/2016,4592350.00,3913260.00,13234238.00,12647751.00
3/23/2016,6475537.00,8270119.00,19580052.00,18258086.00
3/24/2016,26306282.00,26869600.00,49807803.00,46740438.00
3/25/2016,23553022.00,60490216.00,65611048.00,44060429.00
3/26/2016,13400565.00,31899950.00,53617029.00,23039793.00
3/27/2016,5825980.00,13774831.00,22439745.00,17049042.00
3/28/2016,27683009.00,74483170.00,92924703.00,40475622.00
3/29/2016,23407408.00,69730270.00,79303141.00,40385789.00
3/30/2016,22776217.00,44259796.00,51937996.00,35578623.00
3/31/2016,18112086.00,39457063.00,65815283.00,33294125.00
4/1/2016,29509318.00,57553668.00,75530095.00,47608300.00
4/2/2016,24659949.00,21189134.00,45611036.00,32743654.00
4/3/2016,6407661.00,6522334.00,21998055.00,17315387.00
4/4/2016,20688175.00,39315894.00,71204069.00,46275771.00
4/5/2016,24791256.00,39825247.00,60428653.00,48288895.00
4/6/2016,17546524.00,30286385.00,63059532.00,36321579.00
4/7/2016,15347884.00,39100556.00,59095250.00,37052552.00
4/8/2016,19478033.00,28243544.00,57213060.00,35028107.00
4/9/2016,12910976.00,13328087.00,42818410.00,21110459.00
4/10/2016,4888114.00,6155657.00,23815224.00,15505943.00
4/11/2016,21155342.00,41352824.00,69882549.00,37881725.00
4/12/2016,17665739.00,53761146.00,82765842.00,39241777.00
4/13/2016,21086947.00,67705140.00,98328648.00,39475616.00
4/14/2016,17241464.00,49555565.00,74757795.00,37024112.00
