DATE, INBOUND_FOR , OUTBOUND_FOR , NET_FOR , INBOUND_KZT , OUTBOUND_KZT , NET_KZT , NET_TOTAL ,USD,EUR,DELTA_NET_USD,DELTA_NET_EUR,DELTA_IN_FOR,DELTA_OUT_FOR,DELTA_NET_FOR,DELTA_IN_KZT,DELTA_OUT_KZT,DELTA_NET_KZT,CALENDAR,RATE_FOR,RATE_KZT
1/1/2016,0,122953,-122953,1899647,1584705,314942,191989,340.01,371.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,HOLIDAY,0.02,0.13
1/2/2016,2942,115059,-112117,2706416,2315761,390655,278538,340.01,371.46,0.00,0.00,0.00,-0.06,-0.09,0.42,0.46,0.24,HOLIDAY,0.02,0.13
1/3/2016,263,147905,-147642,3548855,2971268,577587,429945,340.01,371.46,0.00,0.00,-0.91,0.29,0.32,0.31,0.28,0.48,NORMAL,0.02,0.13
1/4/2016,13533594,9363025,4170569,23528654,11716898,11811756,15982325,340.01,371.46,0.00,0.00,51457.53,62.30,-29.25,5.63,2.94,19.45,NORMAL,0.02,0.13
1/5/2016,36769881,32769452,4000429,37289979,22565273,14724706,18725135,340.01,371.46,0.00,0.00,1.72,2.50,-0.04,0.58,0.93,0.25,NORMAL,0.02,0.13
1/6/2016,42232107,40426113,1805995,32561910,26047017,6514893,8320888,343.14,369.46,0.01,-0.01,0.15,0.23,-0.55,-0.13,0.15,-0.56,NORMAL,0.02,0.13
1/7/2016,20162470,7431723,12730747,16324399,15539914,784485,13515232,345.01,370.23,0.01,0.00,-0.52,-0.82,6.05,-0.50,-0.40,-0.88,HOLIDAY,0.02,0.13
1/8/2016,38992389,38281125,711264,32862635,28393829,4468806,5180070,345.01,370.23,0.00,0.00,0.93,4.15,-0.94,1.01,0.83,4.70,NORMAL,0.02,0.13
1/9/2016,26803474,11932948,14870526,22660399,16416190,6244209,21114734,351.88,382.32,0.02,0.03,-0.31,-0.69,19.91,-0.31,-0.42,0.40,WEEKEND,0.02,0.13
1/10/2016,8851527,6220097,2631430,12639631,10366946,2272685,4904116,351.88,382.32,0.00,0.00,-0.67,-0.48,-0.82,-0.44,-0.37,-0.64,WEEKEND,0.02,0.13
1/11/2016,39286147,32598729,6687418,30420013,33480946,-3060933,3626485,351.88,382.32,0.00,0.00,3.44,4.24,1.54,1.41,2.23,-2.35,NORMAL,0.02,0.13
1/12/2016,46513285,50892940,-4379655,39949753,39848130,101623,-4278032,356.88,388.46,0.01,0.02,0.18,0.56,-1.65,0.31,0.19,-1.03,NORMAL,0.02,0.13
1/13/2016,46796337,53460452,-6664115,42709133,46540674,-3831541,-10495657,365.07,396.17,0.02,0.02,0.01,0.05,0.52,0.07,0.17,-38.70,NORMAL,0.02,0.13
1/14/2016,41271148,54597101,-13325953,25349487,38046184,-12696697,-26022650,364.89,394.67,0.00,0.00,-0.12,0.02,1.00,-0.41,-0.18,2.31,NORMAL,0.02,0.13
1/15/2016,43411973,50333492,-6921519,30121656,41039194,-10917539,-17839058,365.23,398.32,0.00,0.01,0.05,-0.08,-0.48,0.19,0.08,-0.14,NORMAL,0.02,0.13
1/16/2016,28867142,10807737,18059405,19171525,20630054,-1458528,16600877,360.9,393.63,-0.01,-0.01,-0.34,-0.79,-3.61,-0.36,-0.50,-0.87,WEEKEND,0.02,0.13
1/17/2016,9629009,5841229,3787780,8416629,9669873,-1253244,2534536,360.9,393.63,0.00,0.00,-0.67,-0.46,-0.79,-0.56,-0.53,-0.14,WEEKEND,0.02,0.13
1/18/2016,42916255,56818652,-13902398,33473648,38842817,-5369169,-19271566,360.9,393.63,0.00,0.00,3.46,8.73,-4.67,2.98,3.02,3.28,NORMAL,0.02,0.13
1/19/2016,55622884,70447920,-14825037,39486830,57101681,-17614850,-32439887,374.31,407.96,0.04,0.04,0.30,0.24,0.07,0.18,0.47,2.28,NORMAL,0.02,0.13
1/20/2016,50407793,56996416,-6588623,29746283,44597771,-14851487,-21440111,377.7,410.79,0.01,0.01,-0.09,-0.19,-0.56,-0.25,-0.22,-0.16,NORMAL,0.02,0.13
1/21/2016,45149174,47622124,-2472950,27055713,39285774,-12230061,-14703011,374.6,409.29,-0.01,0.00,-0.10,-0.16,-0.62,-0.09,-0.12,-0.18,NORMAL,0.02,0.13
1/22/2016,57671107,90092833,-32421726,48629080,45382090,3246990,-29174736,383.91,418.23,0.02,0.02,0.28,0.89,12.11,0.80,0.16,-1.27,NORMAL,0.02,0.13
1/23/2016,28733447,61891186,-33157739,72830653,16492667,56337986,23180247,381.16,412.95,-0.01,-0.01,-0.50,-0.31,0.02,0.50,-0.64,16.35,WEEKEND,0.02,0.13
1/24/2016,7434043,10435314,-3001271,9877539,8128339,1749200,-1252072,381.16,412.95,0.00,0.00,-0.74,-0.83,-0.91,-0.86,-0.51,-0.97,WEEKEND,0.02,0.13
1/25/2016,82908779,99732352,-16823573,61657591,64352584,-2694993,-19518566,381.16,412.95,0.00,0.00,10.15,8.56,4.61,5.24,6.92,-2.54,NORMAL,0.02,0.13
1/26/2016,57545594,121877427,-64331834,36742750,46589174,-9846424,-74178258,372.89,403.28,-0.02,-0.02,-0.31,0.22,2.82,-0.40,-0.28,2.65,NORMAL,0.02,0.13
1/27/2016,41310442,56609777,-15299335,30796268,26699781,4096486,-11202849,380.3,412.13,0.02,0.02,-0.28,-0.54,-0.76,-0.16,-0.43,-1.42,NORMAL,0.02,0.13
1/28/2016,49288994,69344494,-20055501,48676275,35599797,13076478,-6979023,375.49,408.27,-0.01,-0.01,0.19,0.23,0.31,0.58,0.33,2.19,NORMAL,0.02,0.13
1/29/2016,68425027,117637795,-49212768,78993717,37711995,41281722,-7931045,371.55,405.32,-0.01,-0.01,0.39,0.70,1.45,0.62,0.06,2.16,NORMAL,0.02,0.13
1/30/2016,15897107,14117874,1779234,20189496,12215651,7973845,9753079,364.79,397.88,-0.02,-0.02,-0.77,-0.88,-1.04,-0.74,-0.68,-0.81,WEEKEND,0.02,0.13
1/31/2016,6704821,7177766,-472945,10573176,8564507,2008670,1535724,364.79,397.88,0.00,0.00,-0.58,-0.49,-1.27,-0.48,-0.30,-0.75,SALARY,0.02,0.13
2/1/2016,35622073,80411379,-44789306,290060859,236902226,53158634,8369327,364.79,397.88,0.00,0.00,4.31,10.20,93.70,26.43,26.66,25.46,SALARY,0.02,0.13
2/2/2016,53152080,80139401,-26987321,251152657,241174191,9978466,-17008855,360.45,391.27,-0.01,-0.02,0.49,0.00,-0.40,-0.13,0.02,-0.81,NORMAL,0.02,0.13
2/3/2016,38247744,58341186,-20093442,192966169,172506511,20459658,366215,369.15,403,0.02,0.03,-0.28,-0.27,-0.26,-0.23,-0.28,1.05,NORMAL,0.02,0.13
2/4/2016,24559200,45330266,-20771066,159086362,137015355,22071007,1299941,375.25,409.62,0.02,0.02,-0.36,-0.22,0.03,-0.18,-0.21,0.08,NORMAL,0.02,0.13
2/5/2016,24949127,36116691,-11167564,130068361,115176800,14891561,3723997,363.34,405.6,-0.03,-0.01,0.02,-0.20,-0.46,-0.18,-0.16,-0.33,NORMAL,0.02,0.13
2/6/2016,20503065,12983910,7519154,96710040,76225315,20484725,28003879,363.72,406.97,0.00,0.00,-0.18,-0.64,-1.67,-0.26,-0.34,0.38,WEEKEND,0.02,0.13
2/7/2016,12463819,9518366,2945453,47681322,36858249,10823073,13768526,363.72,406.97,0.00,0.00,-0.39,-0.27,-0.61,-0.51,-0.52,-0.47,WEEKEND,0.02,0.13
2/8/2016,28104783,41645438,-13540654,132286638,114552451,17734187,4193533,363.72,406.97,0.00,0.00,1.25,3.38,-5.60,1.77,2.11,0.64,NORMAL,0.02,0.13
2/9/2016,22431120,42783051,-20351931,115910766,97624613,18286153,-2065778,359.89,402.03,-0.01,-0.01,-0.20,0.03,0.50,-0.12,-0.15,0.03,NORMAL,0.02,0.13
2/10/2016,27652333,47509166,-19856833,101122725,82231715,18891010,-965823,360.37,402.93,0.00,0.00,0.23,0.11,-0.02,-0.13,-0.16,0.03,NORMAL,0.02,0.13
2/11/2016,25031078,41135474,-16104396,87887196,70331631,17555565,1451169,362.23,407.83,0.01,0.01,-0.09,-0.13,-0.19,-0.13,-0.14,-0.07,NORMAL,0.02,0.13
2/12/2016,22353305,56075925,-33722620,105990116,75623064,30367052,-3355568,360.31,407.73,-0.01,0.00,-0.11,0.36,1.09,0.21,0.08,0.73,NORMAL,0.02,0.13
2/13/2016,14385001,22451662,-8066662,79456621,51087190,28369431,20302769,368.17,415.52,0.02,0.02,-0.36,-0.60,-0.76,-0.25,-0.32,-0.07,WEEKEND,0.02,0.13
2/14/2016,7174297,11373534,-4199236,35029598,25021447,10008151,5808915,368.17,415.52,0.00,0.00,-0.50,-0.49,-0.48,-0.56,-0.51,-0.65,WEEKEND,0.02,0.13
2/15/2016,23050228,35231975,-12181748,90263603,76148260,14115343,1933595,368.17,415.52,0.00,0.00,2.21,2.10,1.90,1.58,2.04,0.41,NORMAL,0.02,0.13
2/16/2016,33628834,50451063,-16822229,89132585,77545374,11587210,-5235018,362.1,405.7,-0.02,-0.02,0.46,0.43,0.38,-0.01,0.02,-0.18,NORMAL,0.02,0.13
2/17/2016,27540874,41766009,-14225135,87146782,70523265,16623518,2398383,357.71,399.92,-0.01,-0.01,-0.18,-0.17,-0.15,-0.02,-0.09,0.43,NORMAL,0.02,0.13
2/18/2016,26210588,57807135,-31596547,106637683,72432197,34205486,2608939,359.23,399.61,0.00,0.00,-0.05,0.38,1.22,0.22,0.03,1.06,NORMAL,0.02,0.13
2/19/2016,31059059,52602742,-21543684,89343589,67471633,21871955,328272,350.58,390.37,-0.02,-0.02,0.19,-0.09,-0.32,-0.16,-0.07,-0.36,NORMAL,0.02,0.13
2/20/2016,16720184,12958664,3761520,59631420,50321394,9310026,13071546,355.45,393.8,0.01,0.01,-0.46,-0.75,-1.17,-0.33,-0.25,-0.57,WEEKEND,0.02,0.13
2/21/2016,7637510,7150365,487145,24198022,21072804,3125217,3612362,355.45,393.8,0.00,0.00,-0.54,-0.45,-0.87,-0.59,-0.58,-0.66,WEEKEND,0.02,0.13
2/22/2016,22014332,43057358,-21043026,83798144,61200547,22597597,1554571,355.45,393.8,0.00,0.00,1.88,5.02,-44.20,2.46,1.90,6.23,NORMAL,0.02,0.13
