iter	RMSE
0	382.4381178
1	372.2989266
2	362.4175566
3	352.6865015
4	343.6934869
5	334.8206189
6	326.0894379
7	317.5178755
8	309.3505363
9	301.4421113
10	293.7251158
11	286.1368429
12	278.841636
13	271.8301594
14	265.0549872
15	258.2482953
16	251.8161413
17	245.5154731
18	239.4861449
19	233.7670848
20	228.2397826
21	222.7883113
22	217.4424937
23	212.2691251
24	207.2924708
25	202.4081245
26	197.7510793
27	193.2082963
28	188.8313853
29	184.8115914
30	180.668561
31	176.5747896
32	172.6006259
33	168.8365366
34	165.2496352
35	161.7621638
36	158.4268322
37	155.1334351
38	152.0505608
39	148.9698937
40	146.1633246
41	143.3516121
42	140.5395764
43	137.9847269
44	135.3686554
45	132.9391791
46	130.5919607
47	128.3057101
48	126.1616392
49	123.9456291
50	121.8025453
51	119.7035913
52	117.7342865
53	115.8467883
54	114.1017239
55	112.332929
56	110.6480211
57	108.9538091
58	107.4890477
59	105.9872116
60	104.51214
61	103.0919662
62	101.7171484
63	100.3264301
64	98.97893105
65	97.71812336
66	96.42776138
67	95.34532556
68	94.23293062
69	93.09092921
70	91.99732822
71	90.94735421
72	89.93103243
73	88.92495317
74	88.08073052
75	87.21098692
76	86.3309276
77	85.56815167
78	84.75886543
79	83.97579714
80	83.27245172
81	82.55666853
82	81.89440433
83	81.18124811
84	80.56776423
85	79.91087471
86	79.36846909
87	78.81256526
88	78.27687783
89	77.74044169
90	77.21624035
91	76.69132321
92	76.17928159
93	75.69355619
94	75.18319171
95	74.73320323
96	74.34053486
97	73.91530409
98	73.47424693
99	73.07549129
100	72.67802147
101	72.32361542
102	71.97719674
103	71.68951908
104	71.36407517
105	71.00821717
106	70.67617526
107	70.34293023
108	70.05929593
109	69.73486541
110	69.46322063
111	69.14029526
112	68.92866029
113	68.62803051
114	68.32728453
115	68.04710285
116	67.8076887
117	67.5247014
118	67.26630253
119	67.04955218
120	66.88001881
121	66.6580829
122	66.40834248
123	66.18577546
124	65.95399087
125	65.73667645
126	65.52650899
127	65.33831681
128	65.15104002
129	64.98714466
130	64.8358834
131	64.72380469
132	64.56371818
133	64.38688587
134	64.21466015
135	64.08438501
136	63.85400081
137	63.68257067
138	63.53590981
139	63.42435381
140	63.28580947
141	63.13621065
142	62.97071354
143	62.79601755
144	62.6290766
145	62.49697304
146	62.39072955
147	62.28095633
148	62.14142969
149	61.99848772
150	61.896106
151	61.76857268
152	61.67241899
153	61.50293641
154	61.37564739
155	61.2872173
156	61.18354609
157	61.08367947
158	60.92991477
159	60.84452257
160	60.73297733
161	60.63061538
162	60.49947338
163	60.42290903
164	60.27430897
165	60.13254078
166	60.07296099
167	59.98131718
168	59.89574783
169	59.79800146
170	59.74686058
171	59.66864102
172	59.57342588
173	59.49837853
174	59.37453688
175	59.28413547
176	59.18014367
177	59.11599698
178	59.04202592
179	58.99789559
180	58.93595877
181	58.87290009
182	58.80441577
183	58.71194411
184	58.63953706
185	58.58985734
186	58.55227647
187	58.51419261
188	58.4454245
189	58.34446983
190	58.29845656
191	58.25684229
192	58.20719184
193	58.15447482
194	58.07067427
195	58.01395528
196	57.9953276
197	57.94136813
198	57.88582834
199	57.78162224
200	57.65477687
201	57.56961106
202	57.51111231
203	57.44563165
204	57.39615431
205	57.32090973
206	57.29319635
207	57.25816014
208	57.21470739
209	57.11378083
210	57.05868946
211	56.99750755
212	56.95803537
213	56.85149082
214	56.79472413
215	56.76358573
216	56.73994488
217	56.67449215
218	56.60780034
219	56.58269404
220	56.48287134
221	56.42317866
222	56.37021903
223	56.30281065
224	56.22313668
225	56.155015
226	56.12897754
227	56.08039478
228	56.02260745
229	55.94118313
230	55.9290148
231	55.90698809
232	55.82757399
233	55.78589502
234	55.74276766
235	55.676713
236	55.63276105
237	55.58341676
238	55.52106282
239	55.48875085
240	55.41550093
241	55.38881901
242	55.30512957
243	55.28572565
244	55.26091696
245	55.23256398
246	55.19305007
247	55.11938963
248	55.07812972
249	55.07705142
250	55.04832042
251	55.01648855
252	54.95568129
253	54.90921193
254	54.85978395
255	54.82321527
256	54.78729123
257	54.76024037
258	54.71929165
259	54.71840175
260	54.68805862
261	54.64063166
262	54.58092219
263	54.54997847
264	54.5007793
265	54.45174835
266	54.40193546
267	54.3541524
268	54.3097335
269	54.22380735
270	54.18359829
271	54.14715221
272	54.09844782
273	54.03858622
274	54.03775719
275	53.99336984
276	53.9717026
277	53.9404381
278	53.91596986
279	53.89931513
280	53.86640585
281	53.81252435
282	53.76870502
283	53.73697721
284	53.7317301
285	53.70265278
286	53.61580584
287	53.57771133
288	53.550507
289	53.55014367
290	53.45871763
291	53.40655867
292	53.35256161
293	53.30539378
294	53.28364074
295	53.25450058
296	53.24979857
297	53.24155325
298	53.18444918
299	53.14908942
300	53.12563779
301	53.09651423
302	53.07436139
303	53.07290543
304	53.01516332
305	52.9631706
306	52.90892551
307	52.84235844
308	52.84113768
309	52.79373252
310	52.76187959
311	52.72992432
312	52.72961267
313	52.71258816
314	52.67443823
315	52.67437131
316	52.65001889
317	52.62166265
318	52.59374155
319	52.59359767
320	52.54207095
321	52.54177663
322	52.54168654
323	52.51910879
324	52.49682306
325	52.47503707
326	52.44363933
327	52.42090376
328	52.38743451
329	52.34942644
330	52.3320735
331	52.33147697
332	52.31998857
333	52.31910536
334	52.29698646
335	52.27682693
336	52.24580324
337	52.22752946
338	52.18203403
339	52.14716085
340	52.09430867
341	52.07791947
342	52.0521422
343	52.00164095
344	51.99900459
345	51.99876333
346	51.95718865
