iter	Passed	Remaining
0	9	9141
1	17	8740
2	26	8715
3	38	9612
4	46	9331
5	55	9113
6	60	8551
7	65	8167
8	72	8019
9	78	7775
10	83	7551
11	89	7378
12	95	7234
13	100	7092
14	106	6983
15	111	6875
16	117	6801
17	123	6725
18	130	6736
19	136	6688
20	142	6627
21	147	6566
22	153	6499
23	158	6437
24	163	6380
25	169	6335
26	174	6283
27	179	6236
28	184	6190
29	186	6042
30	192	6002
31	197	5976
32	203	5959
33	212	6026
34	223	6170
35	231	6200
36	237	6175
37	242	6148
38	248	6124
39	253	6091
40	259	6068
41	264	6043
42	270	6018
43	275	5989
44	281	5968
45	286	5942
46	292	5927
47	298	5910
48	303	5886
49	308	5868
50	314	5848
51	319	5830
52	325	5814
53	330	5796
54	336	5780
55	342	5767
56	347	5748
57	353	5735
58	358	5716
59	363	5702
60	369	5687
61	375	5673
62	380	5657
63	385	5640
64	391	5627
65	397	5621
66	405	5651
67	415	5697
68	423	5707
69	428	5696
70	434	5683
71	440	5672
72	445	5659
73	451	5646
74	456	5629
75	462	5618
76	467	5609
77	471	5574
78	477	5566
79	483	5559
80	489	5549
81	494	5535
82	499	5522
83	506	5520
84	511	5507
85	517	5497
86	522	5484
87	528	5478
88	534	5467
89	539	5456
90	547	5467
91	555	5481
92	563	5496
93	571	5505
94	578	5514
95	587	5529
96	597	5558
97	611	5624
98	620	5644
99	627	5646
100	634	5647
101	641	5651
102	650	5661
103	657	5665
104	665	5670
105	672	5674
106	680	5680
107	688	5687
108	696	5690
109	703	5695
110	712	5704
111	720	5709
112	727	5711
113	735	5716
114	743	5720
115	750	5720
116	758	5724
117	766	5725
118	774	5730
119	781	5734
120	789	5735
121	798	5749
122	810	5781
123	820	5793
124	831	5821
125	837	5807
126	845	5814
127	851	5801
128	857	5788
129	863	5779
130	871	5778
131	878	5776
132	885	5769
133	891	5761
134	898	5757
135	905	5754
136	913	5752
137	920	5751
138	928	5750
139	935	5749
140	943	5747
141	951	5751
142	959	5752
143	967	5752
144	975	5751
145	983	5750
146	990	5749
147	1000	5760
148	1012	5784
149	1025	5808
150	1031	5798
151	1036	5783
152	1042	5770
153	1047	5756
154	1053	5742
155	1058	5727
156	1064	5714
157	1069	5701
158	1075	5688
159	1081	5677
160	1087	5664
161	1092	5651
162	1097	5638
163	1103	5623
164	1108	5611
165	1114	5598
166	1120	5587
167	1125	5575
168	1131	5563
169	1137	5552
170	1142	5539
171	1149	5532
172	1155	5521
173	1161	5512
174	1170	5516
175	1183	5540
176	1201	5585
177	1216	5617
178	1226	5626
179	1237	5636
180	1253	5671
181	1265	5685
182	1279	5714
183	1295	5745
184	1311	5778
185	1325	5800
186	1331	5789
187	1343	5801
188	1353	5807
189	1365	5821
190	1380	5846
191	1393	5862
192	1407	5884
193	1418	5894
194	1435	5925
195	1449	5945
196	1462	5962
197	1474	5972
198	1480	5957
199	1486	5946
200	1492	5933
201	1498	5919
202	1504	5905
203	1509	5890
204	1515	5877
205	1520	5862
206	1526	5846
207	1531	5833
208	1537	5820
209	1543	5807
210	1549	5795
211	1555	5782
212	1561	5768
213	1567	5755
214	1573	5744
215	1578	5728
