id,radius
4365,0.2382668483506584
1129,0.41859917546909475
2602,0.2824321646262582
1747,0.5461471115919182
3286,0.2803152326350908
787,0.2606498583896906
2834,0.2779940546986014
84,0.2713452973140386
2995,0.35039350799945973
1557,0.3627975792540252
1315,0.29940020129318157
625,0.26881911207873815
5755,0.28156463815248256
3148,0.2779940546986014
5476,0.23637810588225633
2586,0.2779940546986014
323,0.2614453088632146
4445,0.2382668483506584
3265,0.6744775990664658
1569,0.386565018907966
3727,0.23021888273788307
2091,0.27924464205964034
5682,0.2442879983184407
4588,0.24832554457494432
408,0.22017946346076442
5842,0.33289910959889996
4764,0.32178081855680574
5629,0.37794526523746225
393,0.4145329734692381
3682,0.4633092795725196
5595,0.6098301499394336
5926,0.5685097472792711
1419,0.4259056881554398
2166,0.378790833573027
1883,0.4744136455331675
3966,0.25754954537710484
2439,0.35039350799945973
3075,0.5581743424352869
4454,0.24561686065580615
2034,0.41588774410180684
2525,0.35039350799945973
4441,0.6283576148422334
604,0.5605277460560572
4938,0.2818917506816974
4006,0.6832414615111412
4685,0.6958009854951902
4280,0.24561686065580615
4028,0.3015944684492548
5969,0.22291071909133872
3487,0.48
1514,0.51
4391,0.39
2977,0.52
1194,0.98
1321,0.29
1862,0.16
2803,0.23
811,0.11
5725,0.18
805,0.01
4296,0.5
4958,0.86
79,0.02
4635,0.16
3940,0.66
1433,0.67
5999,0.31
1600,0.45
228,0.13
3844,0.57
3317,0.44
3296,0.78
4856,0.19
3901,0.12
5005,0.37
3885,0.57
4724,0.11
1075,0.31
5956,0.84
2776,0.85
681,0.34
2549,0.61
3407,0.58
2098,0.95
5564,0.89
1221,0.44
1912,0.07
4558,0.14
37,0
2364,0.99
1215,0.43
2132,0.39
5306,0.29
233,0.94
3311,0.39
5008,0.94
4104,0.71
5376,0.91
5384,0.32
4055,0.69
1643,0.59
2312,0.89
4982,0.28
696,0.37
5957,0.44
2550,0.84
2929,0.09
93,0.74
1397,0.5
4086,0.65
5585,0.93
2516,0.57
3574,0.22
5883,0.73
4782,0.75
1498,0.25
324,0.35
5562,0.54
544,0.53
5371,0.09
23,0.19
2131,0.59
1817,0.88
2941,0.36
1721,0.7
2133,0.09
3599,0.23
565,0.15
3995,0.19
3839,0.55
5256,0.49
1864,0.78
3903,0.09
156,0.38
2480,0.96
3279,0.38
3618,0.06
177,0.7
1669,0.79
439,0.08
3718,0.18
1188,0.95
263,0.93
1835,0.84
4306,0.69
1448,0.64
221,0.24
254,0
308,0.75
1084,0.79
4568,0.37
747,0.86
31,0.73
553,0.66
2031,0.19
4419,0.49
2874,0.65
1964,0.7
2344,0.04
5556,0.12
5779,0.69
167,0.09
763,0.49
2328,0.26
1261,0.61
319,0.08
6021,0.8
2789,0.61
296,0.3
3872,0.34
530,0.72
3740,0.19
2877,0.64
5576,0.02
4083,0.69
346,0.84
80,0.8
2780,0.88
2847,0.57
3970,0.2
5806,0.8
1357,0.85
5357,0.03
1039,0.41
865,0.33
2142,0.4
5640,0.83
1730,0.84
2694,0.77
5346,0.39
4359,0.84
4051,0.84
157,0.89
576,0.35
325,0.59
4211,0.89
5962,0.61
3252,0.12
4836,0.3
5439,0.45
4669,0.76
960,0.64
2721,0.68
706,0.71
3297,0.42
401,0.38
5513,0.96
2650,0.53
4761,0.62
2373,0.92
3819,0.04
4969,0.97
5743,0.29
1647,0.93
3809,0.5
5744,0.08
2932,0.69
2389,0.08
4827,0.37
2228,0.27
538,0.79
2375,0.79
5628,0.97
1235,0.77
1684,0.68
1755,0.38
1212,0.56
4385,0.1
977,0.55
2042,0.52
4899,0.74
6017,0.83
2836,0.65
4416,0.53
50,0.42
4058,0.48
1319,0.27
1468,0.07
2337,0.13
2765,0.73
3543,0.59
4678,0.77
3477,0.17
1650,0.22
1268,0.99
4686,0.16
2691,0.49
5537,0.47
4824,0.84
3021,0
3765,0.24
2232,0.08
2809,0.43
5047,0.09
5655,0.29
4649,0.72
5066,0.44
6022,0.31
3184,0.16
1158,0.84
2463,0.61
4371,0.94
4266,0.46
469,0.19
2095,0.12
3333,0.49
2304,0.75
926,0.14
1350,0.48
1383,0.32
5144,0.39
239,0.18
199,0.89
4743,0.78
1706,0.23
1954,0.1
3470,0.19
3383,0.58
1550,0.92
5849,0.77
465,0
1803,0.69
101,0.16
4189,0.93
1536,0.09
472,0.98
2072,0.05
4402,0.8
410,0.12
2022,0.89
3758,0.39
5586,0.86
5153,0.27
3208,0.15
4128,0.29
4671,0.47
2960,0.82
1867,0.66
4480,0.32
2996,0.31
4354,0.05
881,0.89
5715,0.26
2754,0.07
2505,0.5
4647,0.26
1888,0.48
4830,0.16
2138,0.32
3164,0.72
1665,0.28
599,0.3
3334,0.56
371,0.57
2603,0.12
1049,0.34
1870,0.99
2913,0.74
5067,0
1892,0.95
1142,0.89
2526,0.4
3834,0.81
4832,0.91
132,0
1170,0.15
4874,0.92
2833,0.47
1769,0.58
5500,0.7
746,0.93
1879,0.45
1322,0.34
3481,0.11
501,0.36
4096,0.78
2821,0.89
2486,0.29
4597,0.83
5307,0.87
800,0.71
3789,0.11
3203,0.23
1905,0.08
2306,0.45
2080,0.01
168,0.27
